Factories	2
Families	20
Machines	2
SetupType	3

Number of Jobs in each Family
4	9	4	9	5	3	6	6	6	7	2	10	6	3	5	5	5	6	10	2	

Jobs in each Family
0	1	2	3	
4	5	6	7	8	9	10	11	12	
13	14	15	16	
17	18	19	20	21	22	23	24	25	
26	27	28	29	30	
31	32	33	
34	35	36	37	38	39	
40	41	42	43	44	45	
46	47	48	49	50	51	
52	53	54	55	56	57	58	
59	60	
61	62	63	64	65	66	67	68	69	70	
71	72	73	74	75	76	
77	78	79	
80	81	82	83	84	
85	86	87	88	89	
90	91	92	93	94	
95	96	97	98	99	100	
101	102	103	104	105	106	107	108	109	110	
111	112	

Total number of jobs
113

Processing times of jobs
8	5	
5	5	
4	2	
8	6	
1	8	
3	5	
8	8	
1	4	
9	2	
6	3	
8	7	
3	6	
6	2	
4	1	
10	4	
1	7	
10	4	
7	10	
6	10	
5	6	
4	9	
8	4	
7	4	
10	9	
7	5	
7	1	
4	2	
6	2	
9	2	
1	5	
5	8	
1	9	
8	9	
9	7	
1	5	
4	6	
6	5	
2	5	
3	3	
10	8	
5	9	
5	5	
6	4	
6	1	
9	4	
6	6	
1	1	
6	6	
6	9	
3	6	
2	8	
8	8	
9	10	
9	5	
5	9	
2	6	
7	6	
4	6	
1	1	
7	5	
2	10	
7	9	
5	9	
9	7	
7	6	
5	2	
10	6	
3	3	
5	1	
3	5	
8	4	
4	3	
8	10	
10	8	
4	2	
1	3	
6	7	
5	4	
3	8	
10	5	
6	4	
4	2	
7	5	
7	2	
9	10	
5	4	
2	4	
6	4	
5	8	
8	7	
6	7	
1	9	
7	9	
4	4	
1	6	
9	4	
1	10	
7	5	
8	6	
2	4	
9	6	
8	9	
6	1	
1	6	
8	10	
5	1	
1	8	
5	10	
6	8	
9	4	
8	3	
5	1	
4	10	

Stepup times between Families, where [f][f] represents initial setup time
On machine	1
64	34	27	67	6	16	77	88	48	16	73	51	89	12	92	60	97	59	40	89	
14	84	4	38	48	65	47	42	81	6	92	61	41	23	89	72	10	62	46	94	
75	12	99	49	62	49	100	64	90	85	43	14	46	50	67	55	47	24	73	13	
88	68	100	38	3	85	73	19	23	82	74	28	88	39	42	87	39	46	14	6	
99	53	39	9	83	3	4	59	33	11	72	51	58	35	31	99	14	24	89	40	
66	77	92	33	49	83	15	24	64	28	63	97	6	15	61	14	86	78	96	26	
34	5	37	42	63	82	83	77	6	5	72	55	79	87	1	85	16	13	53	70	
37	23	82	21	93	13	47	57	75	52	73	1	13	74	86	17	33	26	99	100	
79	80	86	97	54	91	55	27	58	96	61	48	73	66	19	21	13	46	24	10	
81	77	38	90	36	43	2	60	74	91	32	33	4	28	24	12	2	78	45	33	
7	50	30	66	13	69	34	11	90	36	80	98	98	76	7	34	5	96	90	35	
87	40	84	2	90	50	5	33	57	75	80	78	35	55	84	45	13	50	100	34	
47	32	100	59	64	49	13	42	61	40	92	23	56	77	62	1	81	37	46	41	
69	87	43	34	49	48	75	91	53	34	64	34	18	1	31	47	76	70	59	16	
80	72	3	18	85	51	90	56	25	74	21	62	79	22	62	5	27	53	48	57	
97	20	91	19	33	75	13	32	50	16	29	62	6	15	51	65	98	78	1	93	
38	1	36	42	43	63	77	95	15	89	46	11	61	82	16	97	93	72	47	100	
18	46	56	83	54	14	25	93	6	53	5	66	39	13	91	75	41	70	9	41	
98	29	1	74	48	64	59	9	38	34	64	85	4	49	11	46	78	5	40	8	
7	77	61	1	90	67	44	3	68	40	53	77	27	4	14	44	83	91	80	25	
On machine	2
8	93	88	5	47	64	82	89	32	15	40	71	15	57	34	85	45	74	21	17	
9	45	86	36	28	71	8	71	42	55	20	50	50	42	40	59	8	65	97	43	
73	60	34	23	34	42	6	38	37	71	37	25	4	32	90	87	59	41	35	21	
89	27	98	89	78	29	67	27	35	36	1	8	29	50	53	19	90	87	100	80	
97	17	5	46	41	22	99	92	17	19	80	8	39	48	10	8	74	57	13	41	
96	3	45	80	99	50	93	30	90	57	17	31	63	29	64	90	32	75	89	16	
2	33	50	27	30	69	97	13	95	22	46	13	74	27	62	59	17	83	79	78	
29	88	72	7	5	14	50	8	4	57	46	92	14	98	49	89	16	47	78	34	
96	14	67	39	47	14	95	5	85	94	62	66	24	91	89	92	1	73	23	4	
11	79	36	11	93	58	46	92	74	81	17	5	7	6	3	95	73	44	64	82	
12	90	54	46	11	51	72	34	61	94	12	63	19	91	3	36	14	46	64	43	
32	76	91	57	90	69	75	41	97	37	69	82	74	29	32	86	46	27	2	81	
1	56	32	51	53	82	1	61	23	18	95	2	6	12	19	21	10	93	34	85	
19	19	87	98	50	63	30	34	68	20	38	14	39	64	100	85	21	15	64	77	
66	22	87	9	95	40	33	59	39	26	24	19	27	25	9	56	26	38	47	58	
75	1	84	43	29	77	90	97	86	31	3	76	63	60	53	56	56	88	78	2	
17	9	17	16	56	61	31	45	52	83	8	38	13	87	25	81	65	48	72	36	
30	37	75	14	68	63	32	79	65	94	4	42	52	6	82	30	67	80	70	90	
85	24	67	38	83	97	84	73	37	52	46	96	55	90	79	15	72	81	93	2	
14	27	50	39	55	36	14	35	5	1	45	45	17	9	39	70	9	29	69	25	
