Factories	2
Families	20
Machines	4
SetupType	2

Number of Jobs in each Family
10	3	6	9	3	7	2	3	8	8	7	8	1	6	8	1	5	4	9	5	

Jobs in each Family
0	1	2	3	4	5	6	7	8	9	
10	11	12	
13	14	15	16	17	18	
19	20	21	22	23	24	25	26	27	
28	29	30	
31	32	33	34	35	36	37	
38	39	
40	41	42	
43	44	45	46	47	48	49	50	
51	52	53	54	55	56	57	58	
59	60	61	62	63	64	65	
66	67	68	69	70	71	72	73	
74	
75	76	77	78	79	80	
81	82	83	84	85	86	87	88	
89	
90	91	92	93	94	
95	96	97	98	
99	100	101	102	103	104	105	106	107	
108	109	110	111	112	

Total number of jobs
113

Processing times of jobs
9	6	8	3	
4	7	5	10	
3	4	6	6	
10	6	8	3	
7	4	7	6	
7	7	9	4	
2	7	7	3	
7	10	5	4	
9	6	4	5	
6	10	10	9	
1	3	2	5	
7	10	9	1	
4	1	9	8	
6	6	2	5	
8	3	4	9	
3	1	8	2	
10	9	7	6	
7	9	2	3	
10	8	3	5	
1	4	10	10	
2	2	10	1	
6	9	6	9	
8	4	9	3	
5	4	6	8	
7	9	2	4	
5	4	7	2	
1	3	5	7	
9	10	3	1	
2	3	6	2	
7	8	1	2	
4	4	5	4	
6	7	4	10	
3	2	9	9	
3	9	10	7	
8	10	9	8	
3	8	8	9	
5	2	4	10	
5	3	4	10	
4	8	4	6	
9	4	4	4	
8	8	6	9	
4	5	9	8	
2	4	6	7	
6	6	1	2	
6	8	9	9	
7	2	5	6	
5	2	8	5	
3	5	5	3	
1	6	9	1	
1	4	8	6	
9	3	6	9	
7	6	1	3	
9	1	1	1	
6	10	6	4	
10	1	10	4	
10	6	2	8	
6	6	2	10	
8	9	5	7	
6	2	9	3	
4	8	2	5	
7	2	8	1	
1	1	4	7	
5	6	5	7	
4	9	10	7	
10	5	1	3	
5	2	5	9	
4	3	5	8	
4	8	6	5	
1	9	10	9	
4	2	8	7	
5	7	3	3	
10	6	9	2	
4	4	2	3	
8	4	7	8	
9	9	8	5	
8	10	10	4	
9	5	4	10	
5	8	5	3	
9	6	2	7	
1	3	3	10	
6	1	2	4	
4	9	5	9	
6	8	5	4	
6	4	3	1	
7	9	9	1	
6	3	1	8	
3	5	2	7	
6	2	6	9	
5	10	4	6	
2	3	3	8	
4	1	1	6	
10	7	3	7	
8	5	3	1	
3	1	4	9	
2	2	3	1	
1	6	5	10	
6	8	4	2	
9	5	1	7	
3	6	10	2	
4	9	10	5	
5	6	10	1	
8	9	2	3	
3	4	2	10	
4	3	9	10	
3	8	8	4	
8	10	4	10	
3	8	10	5	
4	1	3	8	
6	4	4	8	
8	2	5	9	
10	4	2	8	
9	5	9	8	
3	10	3	9	

Stepup times between Families, where [f][f] represents initial setup time
On machine	1
9	32	46	34	40	29	26	32	20	38	46	10	50	11	32	7	50	42	2	42	
36	18	23	14	4	14	15	3	48	29	13	38	26	22	41	36	3	38	30	22	
6	33	43	32	10	4	30	34	25	34	11	18	46	15	15	13	29	28	34	7	
5	49	26	46	39	24	23	1	16	49	38	50	36	25	40	33	33	25	10	14	
47	16	50	50	42	49	17	36	4	19	44	29	15	40	21	50	40	42	6	42	
5	42	1	8	38	48	22	46	43	8	25	12	21	36	3	2	6	2	45	2	
37	9	39	41	24	18	8	7	46	14	35	43	41	47	5	47	33	27	28	46	
26	37	3	47	27	22	45	48	15	2	37	28	28	19	36	38	9	17	25	32	
4	26	25	12	23	26	39	12	36	39	2	46	32	46	49	46	28	50	19	47	
24	27	16	31	10	33	21	22	21	3	3	49	4	30	13	34	27	24	27	48	
