Factories	2
Families	20
Machines	6
SetupType	2

Number of Jobs in each Family
7	7	1	10	2	10	5	8	4	8	5	5	4	3	2	6	8	3	6	7	

Jobs in each Family
0	1	2	3	4	5	6	
7	8	9	10	11	12	13	
14	
15	16	17	18	19	20	21	22	23	24	
25	26	
27	28	29	30	31	32	33	34	35	36	
37	38	39	40	41	
42	43	44	45	46	47	48	49	
50	51	52	53	
54	55	56	57	58	59	60	61	
62	63	64	65	66	
67	68	69	70	71	
72	73	74	75	
76	77	78	
79	80	
81	82	83	84	85	86	
87	88	89	90	91	92	93	94	
95	96	97	
98	99	100	101	102	103	
104	105	106	107	108	109	110	

Total number of jobs
111

Processing times of jobs
1	8	2	3	7	1	
1	8	1	10	9	8	
3	3	7	7	2	3	
10	5	9	2	2	6	
9	3	6	4	1	2	
8	5	7	7	8	8	
2	1	5	1	6	1	
9	9	1	7	1	5	
6	7	1	9	6	8	
1	9	7	9	7	10	
10	10	4	3	7	4	
3	9	1	4	5	1	
10	7	8	3	7	10	
9	3	1	4	8	4	
4	1	8	4	9	2	
10	5	1	8	7	10	
9	6	2	4	8	1	
1	3	5	9	7	10	
9	3	6	7	9	9	
4	3	2	7	10	2	
6	9	6	5	1	6	
7	3	8	9	3	4	
9	3	10	9	2	7	
10	3	1	3	9	8	
9	10	6	10	1	7	
9	3	10	7	8	5	
10	9	7	2	8	3	
6	7	2	10	3	10	
7	10	4	8	4	7	
5	6	3	4	4	7	
6	10	6	1	9	1	
7	1	2	1	4	2	
1	5	7	10	10	3	
4	5	10	5	4	8	
3	8	4	10	9	6	
7	3	4	9	10	1	
5	9	5	4	8	3	
10	7	9	7	6	2	
3	6	2	2	6	1	
6	1	2	7	4	4	
2	8	5	4	10	7	
5	7	9	10	10	4	
4	10	4	9	7	8	
8	5	5	10	8	5	
9	1	3	4	1	7	
1	6	10	5	1	10	
8	4	8	3	3	2	
5	2	4	1	1	8	
9	9	10	1	7	5	
2	6	3	2	1	3	
8	10	1	5	7	7	
10	1	6	5	10	9	
7	3	1	4	9	7	
3	2	1	9	9	2	
6	1	3	3	1	5	
3	3	4	5	2	4	
2	1	10	1	2	4	
9	4	4	6	10	3	
7	10	9	9	4	7	
10	8	10	10	8	9	
1	9	2	4	4	9	
7	3	10	1	4	1	
5	6	3	6	7	9	
1	7	8	7	8	4	
5	2	9	2	5	7	
7	5	5	1	8	5	
4	1	5	7	3	10	
5	8	1	9	8	3	
10	8	5	4	1	2	
6	9	10	7	10	5	
4	2	7	9	10	5	
8	7	8	10	7	4	
7	7	7	10	4	6	
7	6	1	3	8	2	
2	8	2	7	5	2	
7	7	3	3	3	6	
2	10	7	7	2	2	
7	6	10	7	6	4	
7	4	2	7	2	7	
3	5	2	5	4	5	
5	8	3	1	4	5	
5	4	4	7	3	4	
4	10	10	7	8	9	
7	2	5	6	1	10	
7	2	5	8	1	2	
7	3	6	1	3	7	
5	8	7	1	8	1	
1	8	5	10	8	7	
6	8	3	2	6	5	
9	9	6	9	4	8	
3	10	6	9	4	1	
8	3	5	9	4	3	
4	5	2	6	6	5	
4	2	5	7	5	2	
10	3	1	2	3	6	
5	9	5	5	1	4	
9	3	8	3	7	5	
1	4	5	1	8	10	
1	7	1	10	3	4	
10	4	6	1	1	10	
2	4	5	6	3	4	
1	1	2	6	9	9	
2	9	5	9	5	8	
6	6	8	7	9	1	
4	8	6	4	8	6	
7	8	5	8	10	7	
8	3	5	4	8	2	
10	8	5	8	6	6	
1	6	10	10	4	8	
5	1	2	4	3	2	
4	3	8	10	2	9	

Stepup times between Families, where [f][f] represents initial setup time
On machine	1
38	4	24	9	33	38	29	17	18	22	5	36	10	4	23	4	39	4	19	7	
17	45	34	39	18	7	30	25	49	11	16	6	18	39	7	42	45	31	7	10	
19	20	1	34	21	24	9	30	48	16	47	33	22	13	15	28	48	27	49	21	
25	13	32	1	23	46	50	1	44	21	28	9	48	23	2	43	5	6	14	1	
19	42	7	6	15	33	21	26	41	40	4	8	43	34	8	13	22	13	49	13	
43	50	3	1	14	33	3	18	2	8	12	16	31	30	1	21	50	29	48	34	
22	24	19	31	29	30	20	18	27	13	34	43	37	10	17	31	10	8	36	41	
30	30	49	14	46	22	4	33	44	29	14	8	14	23	2	41	11	21	33	35	
15	46	40	48	49	43	4	20	18	46	3	50	17	12	6	42	19	31	28	49	
42	3	22	45	47	15	13	10	22	9	47	38	35	13	21	42	29	23	2	25	
6	1	39	37	7	23	3	34	17	47	19	40	34	11	27	49	34	26	17	39	
9	47	48	6	19	17	15	28	21	21	21	29	45	22	38	22	49	10	28	33	
32	48	10	43	37	6	10	50	46	31	15	31	47	17	25	30	24	38	1	18	
18	41	20	9	8	24	10	48	10	27	22	7	39	38	21	27	13	42	12	33	
1	18	45	35	38	36	24	24	4	44	9	15	37	36	33	11	40	41	2	15	
31	39	47	50	21	27	42	45	37	5	20	27	28	44	47	2	14	21	5	21	
9	30	2	11	40	45	26	22	1	2	47	12	30	26	32	7	40	15	32	46	
12	49	35	30	31	49	31	43	3	50	3	33	46	43	20	41	20	50	4	41	
30	3	33	5	42	36	31	3	37	12	22	50	50	38	12	34	33	18	27	29	
3	5	34	47	21	45	33	10	12	19	7	3	41	6	1	16	39	49	44	18	
On machine	2
29	33	26	34	26	8	44	20	25	21	2	16	18	14	21	37	16	47	34	2	
14	16	28	1	13	21	40	6	13	41	32	4	30	50	46	49	29	23	27	28	
35	44	9	21	8	37	8	50	41	9	3	4	1	9	49	36	47	24	1	46	
